2024-11-11 11:03:59,262:INFO: Failed to extract font properties from /usr/share/fonts/google-noto-emoji/NotoColorEmoji.ttf: In FT2Font: Could not set the fontsize (invalid pixel size; error code 0x17)
2024-11-11 11:03:59,399:INFO: generated new fontManager
2024-11-11 11:12:16,324:INFO: Chi^2/DoF: 16472151974191.42, L: 1.0
2024-11-11 11:12:22,315:INFO: Chi^2/DoF: 13705634313687.98, L: 0.1111111111111111
2024-11-11 11:12:27,390:INFO: Chi^2/DoF: 13069365053407.137, L: 0.13580246913580246
2024-11-11 11:12:33,272:INFO: Chi^2/DoF: 12726109307844.586, L: 0.0016765736930345982
2024-11-11 11:12:38,442:INFO: Chi^2/DoF: 12620473879355.133, L: 0.0020491456248200642
2024-11-11 11:12:43,569:INFO: Chi^2/DoF: 12565834862271.979, L: 0.00022768284720222937
2024-11-11 11:12:48,743:INFO: Chi^2/DoF: 12115966662244.71, L: 2.529809413358104e-05
2024-11-11 11:12:55,684:INFO: Chi^2/DoF: 11982572929885.508, L: 3.8558290098431705e-09
2024-11-11 11:13:00,489:INFO: Chi^2/DoF: 11902506610829.145, L: 1e-09
2024-11-11 11:13:05,327:INFO: Chi^2/DoF: 11829762446547.992, L: 1e-09
2024-11-11 11:13:10,298:INFO: Chi^2/DoF: 11759678233836.516, L: 1e-09
2024-11-11 11:13:14,952:INFO: Chi^2/DoF: 11691307545357.195, L: 1e-09
2024-11-11 11:13:19,617:INFO: Chi^2/DoF: 11624112891822.424, L: 1e-09
2024-11-11 11:13:24,248:INFO: Chi^2/DoF: 11556136379994.133, L: 1e-09
2024-11-11 11:13:29,282:INFO: Chi^2/DoF: 11488821218595.291, L: 1e-09
2024-11-11 11:13:34,670:INFO: Chi^2/DoF: 11428410820091.664, L: 1e-09
2024-11-11 11:13:39,788:INFO: Chi^2/DoF: 11381149588592.814, L: 1e-09
2024-11-11 11:13:44,649:INFO: Chi^2/DoF: 11348856410208.807, L: 1e-09
2024-11-11 11:13:49,455:INFO: Chi^2/DoF: 11329218486314.229, L: 1e-09
2024-11-11 11:13:54,411:INFO: Chi^2/DoF: 11318362846952.115, L: 1e-09
2024-11-11 11:13:58,978:INFO: Chi^2/DoF: 11312795216784.357, L: 1e-09
2024-11-11 11:14:03,688:INFO: Chi^2/DoF: 11310098596309.832, L: 1e-09
2024-11-11 11:14:08,196:INFO: Chi^2/DoF: 11308846869465.256, L: 1e-09
2024-11-11 11:14:12,750:INFO: Chi^2/DoF: 11308282977709.281, L: 1e-09
2024-11-11 11:14:17,486:INFO: Chi^2/DoF: 11308033757022.287, L: 1e-09
2024-11-11 11:14:21,990:INFO: Chi^2/DoF: 11307924756761.6, L: 1e-09
2024-11-11 11:14:26,647:INFO: Chi^2/DoF: 11307877273778.352, L: 1e-09
2024-11-11 11:14:31,135:INFO: Final Chi^2/DoF: 11307856592477.148, L: 1e-09. Converged: success
2024-11-11 12:04:34,189:INFO: Chi^2/DoF: 16449157875731.38, L: 1.0
2024-11-11 12:04:40,750:INFO: Chi^2/DoF: 13710863463580.922, L: 0.1111111111111111
2024-11-11 12:04:46,075:INFO: Chi^2/DoF: 13065966027753.842, L: 0.13580246913580246
2024-11-11 12:04:52,122:INFO: Chi^2/DoF: 12724996272326.15, L: 0.0016765736930345982
2024-11-11 12:04:57,320:INFO: Chi^2/DoF: 12652499152633.441, L: 0.00018628596589273313
2024-11-11 12:05:02,747:INFO: Chi^2/DoF: 12207149245163.605, L: 2.0698440654748124e-05
2024-11-11 12:05:09,995:INFO: Chi^2/DoF: 12014654113154.48, L: 3.1547691898716846e-09
2024-11-11 12:05:14,562:INFO: Chi^2/DoF: 11936857671971.979, L: 1e-09
2024-11-11 12:05:19,557:INFO: Chi^2/DoF: 11867819496767.662, L: 1e-09
2024-11-11 12:05:24,785:INFO: Chi^2/DoF: 11801439773405.688, L: 1e-09
2024-11-11 12:05:30,066:INFO: Chi^2/DoF: 11737227341610.504, L: 1e-09
2024-11-11 12:05:35,446:INFO: Chi^2/DoF: 11674548018323.254, L: 1e-09
2024-11-11 12:05:40,824:INFO: Chi^2/DoF: 11611165063588.621, L: 1e-09
2024-11-11 12:05:46,122:INFO: Chi^2/DoF: 11545434455111.39, L: 1e-09
2024-11-11 12:05:51,728:INFO: Chi^2/DoF: 11480198211747.37, L: 1e-09
2024-11-11 12:05:57,692:INFO: Chi^2/DoF: 11422225930557.828, L: 1e-09
2024-11-11 12:06:03,269:INFO: Chi^2/DoF: 11377270254707.094, L: 1e-09
2024-11-11 12:06:08,506:INFO: Chi^2/DoF: 11346694703655.797, L: 1e-09
2024-11-11 12:06:13,682:INFO: Chi^2/DoF: 11328130905017.236, L: 1e-09
2024-11-11 12:06:18,634:INFO: Chi^2/DoF: 11317859969849.633, L: 1e-09
2024-11-11 12:06:23,325:INFO: Chi^2/DoF: 11312578323149.605, L: 1e-09
2024-11-11 12:06:27,236:INFO: Chi^2/DoF: 11310010228429.63, L: 1e-09
2024-11-11 12:06:31,101:INFO: Chi^2/DoF: 11308812586603.422, L: 1e-09
2024-11-11 12:06:34,874:INFO: Chi^2/DoF: 11308270348646.633, L: 1e-09
2024-11-11 12:06:38,605:INFO: Chi^2/DoF: 11308029515635.875, L: 1e-09
2024-11-11 12:06:42,295:INFO: Chi^2/DoF: 11307923706056.725, L: 1e-09
2024-11-11 12:06:45,952:INFO: Chi^2/DoF: 11307877436041.291, L: 1e-09
2024-11-11 12:06:49,647:INFO: Final Chi^2/DoF: 11307857221072.125, L: 1e-09. Converged: success
2024-11-11 12:09:09,490:INFO: Chi^2/DoF: 16449157875731.38, L: 1.0
2024-11-11 12:09:13,933:INFO: Chi^2/DoF: 13710863463580.922, L: 0.1111111111111111
2024-11-11 12:09:18,948:INFO: Chi^2/DoF: 13065966027753.842, L: 0.13580246913580246
2024-11-11 12:09:24,641:INFO: Chi^2/DoF: 12724996272326.15, L: 0.0016765736930345982
2024-11-11 12:09:29,630:INFO: Chi^2/DoF: 12652499152633.441, L: 0.00018628596589273313
2024-11-11 12:09:34,913:INFO: Chi^2/DoF: 12207149245163.605, L: 2.0698440654748124e-05
2024-11-11 12:09:41,737:INFO: Chi^2/DoF: 12014654113154.48, L: 3.1547691898716846e-09
2024-11-11 12:09:46,344:INFO: Chi^2/DoF: 11936857671971.979, L: 1e-09
2024-11-11 12:09:50,978:INFO: Chi^2/DoF: 11867819496767.662, L: 1e-09
2024-11-11 12:09:55,667:INFO: Chi^2/DoF: 11801439773405.688, L: 1e-09
2024-11-11 12:10:00,415:INFO: Chi^2/DoF: 11737227341610.504, L: 1e-09
2024-11-11 12:10:05,226:INFO: Chi^2/DoF: 11674548018323.254, L: 1e-09
2024-11-11 12:10:09,970:INFO: Chi^2/DoF: 11611165063588.621, L: 1e-09
2024-11-11 12:10:14,574:INFO: Chi^2/DoF: 11545434455111.39, L: 1e-09
2024-11-11 12:10:19,780:INFO: Chi^2/DoF: 11480198211747.37, L: 1e-09
2024-11-11 12:10:25,318:INFO: Chi^2/DoF: 11422225930557.828, L: 1e-09
2024-11-11 12:10:30,480:INFO: Chi^2/DoF: 11377270254707.094, L: 1e-09
2024-11-11 12:10:35,452:INFO: Chi^2/DoF: 11346694703655.797, L: 1e-09
2024-11-11 12:10:40,248:INFO: Chi^2/DoF: 11328130905017.236, L: 1e-09
