galaxyID,FOV,pixel,view,band,PA,n,Re,Ie,Mstar_ahf_cat,b_a,flag
0,29,1450,projection_xy,band_g,2.5925566704056577,0.3600000014833829,20.439331119952843,6.07878020940131,601228000000.0,0.8841517564056994,fit
0,29,1450,projection_yz,band_g,0.4021215761995574,0.3600000000948601,19.936105011217872,6.0899468392281255,601228000000.0,0.9595283813428755,fit
0,29,1450,projection_zx,band_g,1.1868556895268778,0.360000000073779,20.418097165073863,6.086056611550735,601228000000.0,0.9003447721896932,fit
1,40,2000,projection_xy,band_g,3.118374149785748,1.2843105422586691,57.51440822765409,6.48517835242469,547181000000.0,0.999999999230323,fit
1,40,2000,projection_yz,band_g,0.5571457799801665,5.738443935752313,242.0985819041862,5.487428687931126,547181000000.0,0.3267718095523487,fit
1,40,2000,projection_zx,band_g,1.8113492133425773,0.8822527862038033,37.40926662516846,6.721900652078338,547181000000.0,0.9999999982736032,fit
2,126,6300,projection_xy,band_g,1.846951043495645,0.6672573526691248,57.09699126997726,6.024528228732831,643670000000.0,0.6738223594837561,fit
2,126,6300,projection_yz,band_g,0.3897007669852295,0.5550352858050415,62.73067764536948,6.004648226166779,643670000000.0,0.5921862603527245,fit
2,126,6300,projection_zx,band_g,0.8225728813925657,0.6774732230889038,53.73841873183567,6.078786467235335,643670000000.0,0.825530588859445,fit
3,83,4150,projection_xy,band_g,3.037886593481381,0.5961134741298713,37.51269940654587,5.983413764163935,419125000000.0,0.720884170591357,none
3,83,4150,projection_yz,band_g,2.668145827467388,0.3600001541650117,28.721477733752963,6.196370678020945,419125000000.0,0.9999999271484088,fit
3,83,4150,projection_zx,band_g,1.3677778911299268,0.7216828721240279,42.69810946105589,5.907493257407615,419125000000.0,0.6431408335066745,none
4,36,1800,projection_xy,band_g,3.068351907970502,0.4215698307516432,18.703354841714077,6.152443043899059,278360000000.0,0.9999999858820456,fit
4,36,1800,projection_yz,band_g,3.1311706527977097,0.3600000024832907,21.60339848226792,6.230126522051574,278360000000.0,0.8585061845110309,fit
4,36,1800,projection_zx,band_g,1.4977100155122072,0.3600000024131026,22.731532812733526,6.208926979313936,278360000000.0,0.7326907201664115,fit
5,25,1250,projection_xy,band_g,1.4653465358255562,0.3600000014628661,31.650266117139346,6.331713293934102,234994000000.0,0.4259007461254316,fit
5,25,1250,projection_yz,band_g,1.228080141272315,2.023651276596496,53.80775246353982,5.700568942693272,234994000000.0,0.322385625967148,fit
5,25,1250,projection_zx,band_g,0.0984386581085172,1.5707493794219056,11054.435160723608,6.036658835163294,234994000000.0,0.0010508596889615,fit
6,20,1000,projection_xy,band_g,1.4336636034445938,0.360000000103541,15.5164362586711,6.229422599361246,299638000000.0,0.9448820775751696,fit
6,20,1000,projection_yz,band_g,1.2205950281092433,0.3600000000768872,15.4838736740812,6.222005373128831,299638000000.0,0.8734964062804472,fit
6,20,1000,projection_zx,band_g,0.0909283172069151,0.3600000000280923,15.967389820051118,6.224525065932268,299638000000.0,0.8425215107646311,fit
7,39,1950,projection_xy,band_g,2.1644904160647207,0.4486164871878835,49.53651701621935,7.22199460370989,217648000000.0,0.0304012670079674,none
7,39,1950,projection_yz,band_g,2.6292787957857016,5.337394120965193,1828.158848189972,4.300242466961148,217648000000.0,0.2718723131846321,fit
7,39,1950,projection_zx,band_g,2.9472208384827088,0.3600000000227561,27.2486803134216,6.663018661469811,217648000000.0,0.9411801280008836,fit
8,28,1400,projection_xy,band_g,2.152334396102632,0.3600000019386313,15.282472785438866,6.356273883712801,182877000000.0,0.9317701450425152,fit
8,28,1400,projection_yz,band_g,0.1309309998727101,0.7958634413290235,20.515434406131234,6.067010599114365,182877000000.0,0.9999999685484844,fit
8,28,1400,projection_zx,band_g,0.6689994141249826,0.3933700561385513,10.680855290760933,6.470651418406972,182877000000.0,0.9999999824054912,fit
9,74,3700,projection_xy,band_g,2.8932779917324005,0.3679459649215535,25.085839871089377,6.301530771532375,205162000000.0,0.9999999954973572,fit
9,74,3700,projection_yz,band_g,1.279675514676125,0.4370949573844959,25.117958696292742,6.229985490969204,205162000000.0,0.9999999834493032,fit
9,74,3700,projection_zx,band_g,0.5964284709199658,0.3600000018888271,29.1122599567815,6.3130962524025565,205162000000.0,0.6543507837711203,fit
10,64,3200,projection_xy,band_g,1.3998388793340766,0.575150075686216,21.065476440302447,6.245959421750941,152778000000.0,0.9999999355193252,fit
10,64,3200,projection_yz,band_g,0.9715072351786028,0.6175840209380976,24.353593349357,6.192761807974431,152778000000.0,0.8765258832666231,none
10,64,3200,projection_zx,band_g,2.384745660971891,0.5962592874666853,25.040356003356862,6.21344502888151,152778000000.0,0.7930766817435331,none
11,63,3150,projection_xy,band_g,2.664818079962359,0.5604284622184248,23.109972152112988,6.13699216496256,76964300000.0,0.4970476306313556,none
