galaxyID,FOV,pixel,view,band,b_a,b_a_e,PA,PA_e,n,n_e,Re,Re_e,Ie,Ie_e,Mstar_ahf_cat,flag
18,35,1750,projection_xy,band_r,0.9999999728776466,8.97023585926898e-10,0.1644770444486596,0.0161521613981408,0.6025664730157704,1.0107386405219118e-09,18.131993342931832,1.4294251954028178e-08,6.225794605679283,5.253682563275354e-10,173493000000.0,fit
18,35,1750,projection_xy,band_u,0.9107424028449344,1.4005178413088158e-09,2.9725590954726244,7.975955507939942e-09,0.3600000009795173,1.2825683925547307e-09,19.9066324954994,2.2551231792340247e-08,5.980886448292646,6.957023664064034e-10,173493000000.0,fit
18,35,1750,projection_yz,band_r,0.9462719242606202,6.87166113828034e-10,2.3600406108241145,6.6350876182438375e-09,0.3644884657389032,5.96851577694329e-10,17.48899397358783,9.023013545768749e-09,6.335380578210085,3.239680764402941e-10,173493000000.0,fit
18,35,1750,projection_yz,band_u,0.9468771276864896,1.4025256433541294e-09,2.547487667288828,1.4027496126443108e-08,0.3600000010546711,1.2998796689105651e-09,20.3196069987174,2.2432540929835505e-08,5.971532540443104,7.050303773447364e-10,173493000000.0,fit
18,35,1750,projection_zx,band_r,0.8882360679667087,6.751424034834401e-10,1.7920311850983943,3.1780769464989123e-09,0.3600000024732858,6.144495972360251e-10,17.805603227510613,9.63685394238772e-09,6.324819424830519,3.34279959461226e-10,173493000000.0,fit
18,35,1750,projection_zx,band_u,0.8882454294845292,1.4241785369375611e-09,1.5776557436340497,6.422139851155652e-09,0.3600000016648803,1.337462497811909e-09,20.72947148839319,2.5021984629794333e-08,5.960816467979443,7.262334681441457e-10,173493000000.0,fit
23,33,1650,projection_xy,band_r,0.8980146731944807,3.5480744670556875e-10,2.772074142801387,1.8316795006818879e-09,0.3600000006642413,3.164243394777225e-10,15.816772213723883,4.404141693260969e-09,6.654714664811739,1.7247670918966798e-10,71723700000.0,fit
23,33,1650,projection_xy,band_u,0.642146601409949,1.948324778819675e-10,0.8197001939587626,3.3523968027399225e-10,7.998852514918837,3.685903135125892e-09,148.34333891678932,3.699359896540249e-07,4.755155974261542,1.6039599064751664e-09,71723700000.0,fit
23,33,1650,projection_yz,band_r,0.3092502729132668,1.5517064676215064e-10,1.3020834725042822,1.6912065524297218e-10,0.3600000017571819,4.048851165024071e-10,18.13942805271751,6.579004588377669e-09,6.730123057741274,2.2042763211625027e-10,71723700000.0,fit
23,33,1650,projection_yz,band_u,0.5287209458366446,2.0613664174813003e-10,1.7456196844586849,2.858290031581462e-10,3.5729263445648334,1.6735832615811514e-09,11.3219887222855,1.3010125882456056e-08,6.452238467017455,7.506845995197686e-10,71723700000.0,none
23,33,1650,projection_zx,band_r,0.224929013318911,1.6362752546600478e-10,0.2316868787632002,1.6706784433173383e-10,3.4104555178072284,3.632400614974755e-09,100.38526465405316,3.055742712529032e-07,5.518152467029187,1.8103722570767443e-09,71723700000.0,fit
23,33,1650,projection_zx,band_u,0.9999999957819328,4.680998643566526e-10,1.564167860898948,0.0552016919973047,2.0185159116530493,1.233474190393393e-09,13.816410850877924,1.205125366584338e-08,6.396087974809251,5.783159370338017e-10,71723700000.0,fit
