Simulation,b/a,galaxyID
object_0 ,0.064501,0
object_4 ,0.085757,4
object_5 ,0.115218,5
object_9 ,0.098293,9
object_10 ,0.029144,10
object_11 ,0.038216,11
object_12 ,0.047745,12
object_16 ,0.128936,16
object_17 ,0.010258,17
object_19 ,0.07876,19
object_21 ,0.088251,21
object_22 ,0.02365,22
object_24 ,0.040053,24
object_25 ,0.118758,25
object_27 ,0.021262,27
object_28 ,0.042586,28
object_30 ,0.015364,30
object_32 ,0.012719,32
object_35 ,0.013675,35
object_38 ,0.04045,38
object_40 ,0.068885,40
object_49 ,0.078037,49
object_51 ,0.010247,51
object_53 ,0.094428,53
object_58 ,0.05138,58
object_67 ,0.019507,67
object_68 ,0.049731,68
object_69 ,0.030775,69
object_72 ,0.119322,72
object_74 ,0.006959,74
object_76 ,0.07798300000000001,76
object_77 ,0.065301,77
object_85 ,0.102549,85
object_90 ,0.083401,90
object_104 ,0.031645,104
object_105 ,0.127795,105
object_129 ,0.129227,129
object_141 ,0.130723,141
object_143 ,0.06013,143
object_163 ,0.13531300000000002,163
object_239 ,0.076265,239
object_267 ,0.07226,267
object_297 ,0.1392,297
object_378 ,0.108427,378
object_554 ,0.124789,554
object_590 ,0.047678,590
object_652 ,0.12085,652
