pixel,sim,view,lum_g,mag_r,lum_r,mag_u,FOV,lum_u,mag_g
550,1284,projection_xy,12348432.384000001,-12.636483520201251,8367455.4368,-11.473484686304502,11,19471251.8656,-12.399029570064018
550,1284,projection_yz,12348144.844800001,-12.63653666738182,8367865.036800001,-11.473301405083607,11,19467965.235200003,-12.399004287878812
550,1284,projection_zx,12342841.344,-12.63633373744956,8366301.184,-11.472394136957444,11,19451704.1152,-12.39853786641836
550,590,projection_xy,47611743.4368,-14.013418235713592,29741803.110400002,-13.319618858651598,9,106622176.4608,-13.864285211674028
550,590,projection_yz,50251320.5248,-14.0501217243964,30764417.024,-13.412097580918225,9,116101821.2352,-13.92286869702726
550,590,projection_zx,48106369.843200006,-14.007614416785996,29583242.0352,-13.387540082544312,9,113505271.808,-13.875506464562092
550,702,projection_xy,133188655.5136,-15.287335872209168,96146692.5056,-13.943708960197782,19,189445190.4512,-14.981168087279729
550,702,projection_yz,127641793.3312,-15.254602886719175,93291302.0928,-13.879465792891377,19,178560879.8208,-14.934982243198332
550,702,projection_zx,130960379.0848,-15.274015095893988,94974286.2336,-13.92061258638098,19,185457770.49600002,-14.962849808843375
550,811,projection_xy,99747784.2944,-14.971992594614344,71911283.0976,-13.751907156323703,17,158767959.2448,-14.667258143618694
550,811,projection_yz,96249826.5088,-14.946412080146134,70236818.6368,-13.700971959319766,17,151491680.6656,-14.628499888403587
550,811,projection_zx,99000352.768,-14.965541249331269,71485259.77600001,-13.739761783446902,17,157001829.5808,-14.659091855305055
550,1420,projection_xy,5591187.0464,-11.989432518858374,4610765.209600001,-10.413765284225917,9,7336790.425600001,-11.538760053245765
550,1420,projection_yz,5574955.4176,-11.987538672667517,4602729.6768000005,-10.408890753743087,9,7303924.9408,-11.535603496803757
550,1420,projection_zx,5598393.5488,-11.99057795715869,4615632.0768,-10.415746909848835,9,7350193.3568,-11.540158561720785
550,1266,projection_xy,11974850.969600001,-12.592222739548609,8033209.5488,-11.80375661871205,8,26393844.121600002,-12.365675293007088
550,1266,projection_yz,12298097.4592,-12.605478351608875,8131887.104,-11.860976545135433,8,27822145.536000002,-12.394594825980603
550,1266,projection_zx,12558776.729600001,-12.621087673014467,8249641.369600001,-11.893400620794171,8,28665547.980800003,-12.417368349009104
550,47,projection_xy,1742232512.1024,-18.6157584007939,2062069792.7680001,-16.211640468673213,30,1529875844.3008,-17.772765284808585
550,47,projection_yz,1658860653.7728,-18.552985427250455,1946230036.8896,-16.167215241035862,30,1468541068.9024,-17.71952476578538
550,47,projection_zx,3568250440.9088,-19.327522416023236,3971997499.392,-17.110169425375133,30,3499997790.208,-18.55113832031946
550,1720,projection_xy,1491802.3168000001,-10.62193446082164,1308500.1728,-8.993922869956968,13,1984125.5424000002,-10.104278193211977
550,1720,projection_yz,1491838.5664000001,-10.621974734451955,1308548.7104,-8.993926232018879,13,1984131.6864,-10.10430457541055
550,1720,projection_zx,1491786.24,-10.621955957270119,1308526.08,-8.993975429000718,13,1984221.5936,-10.104266492427175
550,22,projection_xy,3677169804.9024,-19.41354966975964,4299518954.7008,-17.108434561479843,15,3494409718.9888,-18.583784213120197
550,22,projection_yz,3328767845.9904003,-19.301708498130346,3878675074.2528,-17.00003751832397,15,3162386936.6272,-18.475708769416876
550,22,projection_zx,5939824007.5776005,-19.826526797685887,6289421762.56,-17.81834988964978,15,6719546379.468801,-19.10443394339986
550,1006,projection_xy,24335040.512000002,-13.108433586230626,12923300.2496,-12.975788307839586,7,77681092.1984,-13.135580183940432
550,1006,projection_yz,23644500.7872,-13.089091769779932,12695117.004800001,-12.930284197389014,7,74492693.7088,-13.104325372675712
550,1006,projection_zx,24185718.3744,-13.105934667402126,12893590.3232,-12.960579223288555,7,76600514.9696,-13.128897478784458
550,916,projection_xy,43621292.4416,-14.25491444849184,37150595.4816,-12.586542087035692,16,54277124.9152,-13.769246322520944
550,916,projection_yz,44875123.9168,-14.27495307434915,37842622.8736,-12.635856158801445,16,56799232.0,-13.800014152088957
550,916,projection_zx,44133416.96,-14.260087226563273,37328014.540800005,-12.61546540511042,16,55742464.0,-13.781918883280598
550,107,projection_xy,2289521026.6624002,-18.785853644201495,2411800926.6176,-16.702278164240536,25,2403871594.9056,-18.069361590964725
550,107,projection_yz,1995495283.0976,-18.668144708488505,2164003124.0192003,-16.519552617044337,25,2031519740.7232,-17.920126763866747
550,107,projection_zx,622510420.7872,-17.537197960132012,763623322.4192001,-15.03484659235842,25,517533702.5536,-16.65536656473067
550,532,projection_xy,504382986.6496,-16.798433271713357,386699231.232,-15.297245626700938,25,659019477.8112,-16.426901072385384
550,532,projection_yz,476336147.66080004,-16.75351963056157,371028996.9152,-15.212910675995193,25,609767496.0896001,-16.364783850031024
550,532,projection_zx,516863347.9168,-16.813954977632747,392267196.0064,-15.33696006359791,25,683571622.7072,-16.453439340857145
550,680,projection_xy,230281130.8032,-16.081910266520886,199877591.04000002,-14.331435896414106,23,270753674.0352,-15.5756458835148
550,680,projection_yz,243457720.32000002,-16.123770573545414,207734308.86400002,-14.424319992963383,23,294936143.4624,-15.63605887767523
550,680,projection_zx,248246724.19840002,-16.131542871442925,209226720.8704,-14.48896209799165,23,313029191.2704,-15.657208815910034
550,717,projection_xy,287947410.6368,-16.10309283935907,203815465.77920002,-14.929121383533282,23,469514007.34720004,-15.818282943740561
550,717,projection_yz,280418766.0288,-16.07399971512625,198426597.7856,-14.927131468704253,23,468654279.8848,-15.789517684702714
550,717,projection_zx,269891141.632,-16.047545626531345,193650334.1056,-14.848658378769343,23,435976771.9936,-15.747971575938573
550,104,projection_xy,613435152.7936001,-17.52536200038007,755344028.4672,-14.981380529930213,14,492665569.28000003,-16.63942164882129
550,104,projection_yz,673534495.9488001,-17.563425150140276,782294109.3888,-15.1759960801385,14,589384122.368,-16.740899608969187
550,104,projection_zx,1265934270.464,-18.18408800434493,1385591472.128,-15.948284854855558,14,1200366708.3264,-17.426027892331604
550,1129,projection_xy,10483503.104,-12.465809346000183,7150291.3536,-11.21218460378125,13,15306427.596800001,-12.221266070293185
550,1129,projection_yz,10478346.24,-12.465439716094997,7147857.5104,-11.211356472904132,13,15294757.2736,-12.22073186226899
550,1129,projection_zx,10469570.969600001,-12.464810271927684,7143714.816000001,-11.210179750413207,13,15278189.7728,-12.2198222129476
550,198,projection_xy,829031396.1472,-17.647136251941788,844995703.6032001,-15.533870238263908,21,819498372.3008001,-16.966427444938084
550,198,projection_yz,1119432474.624,-17.93312225895533,1099635884.032,-15.923809295322659,21,1173609775.104,-17.29249475398224
550,198,projection_zx,1531674256.9984,-18.221215457218342,1433792099.1232002,-16.34629036734379,21,1731873420.0832,-17.632916032970293
550,1112,projection_xy,27649749.8112,-13.518381248956588,18851785.932800002,-12.664236556467781,10,58303499.4688,-13.274228014860666
550,1112,projection_yz,26780170.649600003,-13.499667576710264,18529642.086400002,-12.595731093102401,10,54738442.6496,-13.239533350280668
550,1112,projection_zx,27285925.068800002,-13.508783597943365,18685874.9952,-12.641554561194212,10,57098122.0352,-13.25984670540098
550,505,projection_xy,708251169.5872,-17.09742328321405,509294883.6352,-15.923968277218624,16,1173781636.7104,-16.795468250938647
550,505,projection_yz,479449212.5184,-16.81792986542517,393705920.92160004,-15.278836651071039,16,647939804.3648,-16.37185652412026
550,505,projection_zx,576803150.2336,-16.93804903779418,439763940.14720005,-15.657548954040543,16,918374003.5072,-16.572569059086568
550,2957,projection_xy,3311457.2800000003,-11.488364113639003,2906334.8224,-9.865857148499778,14,4429379.1744,-10.970047891828896
550,2957,projection_yz,3311467.3152,-11.488352560822252,2906303.8976000003,-9.865795901687076,14,4429129.3184,-10.97005118209132
550,2957,projection_zx,3311360.6144000003,-11.488284542077563,2906121.8304000003,-9.865828433211231,14,4429262.0288,-10.970016197361874
550,1801,projection_xy,7140229.9392,-12.041078552282949,4835389.0304000005,-10.803636918093904,8,10506420.224000001,-11.804280494327612
550,1801,projection_yz,7157003.878400001,-12.043199180114668,4844842.5984000005,-10.807169461578695,8,10540659.5072,-11.806828131398438
550,1801,projection_zx,7106310.9632,-12.038372695406222,4823353.3440000005,-10.796076239766737,8,10433511.424,-11.799110519368986
550,244,projection_xy,492067356.67200005,-17.197176572068052,558303857.8688,-14.854858662292735,16,438473614.9504,-16.400061388162065
550,244,projection_yz,848449136.2304001,-17.705118625984426,891348320.256,-15.604035942557424,16,874207195.9552001,-16.991564529667272
550,244,projection_zx,470342329.9584,-17.18717757992983,553185810.8416001,-14.711813663418102,16,384348743.27040005,-16.35103516555582
