pixel,sim,view,lum_g,mag_r,lum_r,mag_u,FOV,lum_u,mag_g
550,3000,projection_xy,3820039.7824000004,-11.623720165667978,3292214.0672,-10.000400160412443,14,5013719.8592,-11.125169714338716
550,3000,projection_yz,3819809.5872,-11.623729418718268,3292242.1248000003,-10.000288215091047,14,5013202.944,-11.125104286016564
550,3000,projection_zx,3820038.1440000003,-11.623775480174826,3292381.7984,-10.000337536322235,14,5013430.6816,-11.12516924867064
550,6635,projection_xy,4693121.8432,-11.905662628312749,4268399.4112,-10.176643830788198,12,5897358.540800001,-11.348654573866261
550,6635,projection_yz,4693302.4768,-11.90569138392028,4268512.4608000005,-10.17671561837037,12,5897748.48,-11.34869636197058
550,6635,projection_zx,4693936.1280000005,-11.905717325825789,4268614.4512,-10.176860310216092,12,5898534.502400001,-11.348842939271753
550,35974,projection_xy,3173580.3904000004,-11.56709914909394,3124925.44,-9.622913209020489,10,3541320.9088000003,-10.923873759905954
550,35974,projection_yz,3173617.4592,-11.567092389204861,3124905.984,-9.622927524996847,10,3541367.6032000002,-10.923886441703237
550,35974,projection_zx,3173739.3152,-11.567176422309197,3125147.8528,-9.622925264592077,10,3541360.2304000002,-10.92392812944057
550,2783,projection_xy,1477803.8272000002,-10.612256104438435,1296887.9104000002,-8.989519731961407,9,1976095.3344,-10.094041967388117
550,2783,projection_yz,1477735.424,-10.612254647064333,1296886.1696000001,-8.989637876064467,9,1976310.3744,-10.093991710684035
550,2783,projection_zx,1477781.0944,-10.612304282410422,1296945.4592000002,-8.989621561691488,9,1976280.6784,-10.094025265567902
550,13377,projection_xy,1793805.3120000002,-10.862343544041218,1632816.6400000001,-9.130990207991207,10,2251106.7136,-10.304438264395204
550,13377,projection_yz,1793695.1296,-10.862293087769336,1632740.7616,-9.130918789483722,10,2250958.6432000003,-10.304371572266357
550,13377,projection_zx,1793933.1072000002,-10.862428721981296,1632944.7424,-9.131228433271508,10,2251600.6912000002,-10.304515612216743
550,575,projection_xy,489749689.13920003,-17.167405504931082,543203052.7488,-14.789310036570658,22,412785102.0288,-16.39493542251342
550,575,projection_yz,467632704.71680003,-17.13004111679072,524827335.06560004,-14.728046536489078,22,390138324.5824,-16.34476219175356
550,575,projection_zx,467790515.4048,-17.128879300739037,524266032.33280003,-14.729631022233349,22,390708094.5664,-16.345128530273712
550,15492,projection_xy,5522636.8,-12.127486683557885,5235940.1472000005,-10.274144349148681,20,6451456.0,-11.525366206220285
550,15492,projection_yz,5518802.944,-12.126989441834295,5233542.758400001,-10.273039689177338,20,6444895.4368,-11.524612218239218
550,15492,projection_zx,5519819.1616,-12.127105680693921,5234103.091200001,-10.27348721982407,20,6447552.512,-11.524812124392868
550,890,projection_xy,283236211.09760004,-16.467199009636758,285022801.10080004,-14.374279962192926,38,281651445.76,-15.800371940292779
550,890,projection_yz,279610471.2192,-16.45875397921629,282814447.616,-14.359810497428008,38,277922814.36160004,-15.786383578517123
550,890,projection_zx,301690493.3376,-16.517184490296003,298451520.71680003,-14.459942691414746,38,304773411.6352,-15.868904063007315
550,11441,projection_xy,2226727.7312000003,-11.031157654509977,1907493.4784000001,-9.42044812656389,11,2938862.3872,-10.539167794419157
550,11441,projection_yz,2227071.7952,-11.031295316351674,1907735.3472000002,-9.42062735389446,11,2939347.5584,-10.539335544557026
550,11441,projection_zx,2226956.6976,-11.03123272375772,1907625.3696,-9.420534074640702,11,2939095.04,-10.53927943102671
550,664,projection_xy,281327514.4192,-16.477385067507583,287709383.8848,-14.424159594817628,22,294892575.1296,-15.793030522877244
550,664,projection_yz,399866409.7792,-16.76507856808263,375000137.72800004,-14.909001350665271,22,460893454.336,-16.174787308406785
550,664,projection_zx,355135494.5536,-16.658012006003126,339785469.13280004,-14.78930900230598,22,412784708.8128,-16.04598520172277
550,1419,projection_xy,2715911.5776,-11.211892560818331,2252978.3808,-9.684125529707106,8,3746711.1424000002,-10.754789066096356
550,1419,projection_yz,2719883.4688,-11.21285559883025,2254977.6384,-9.686487016909677,8,3754869.1456000004,-10.756375743595369
550,1419,projection_zx,2715251.3024,-11.211731083011427,2252643.328,-9.68342583203475,8,3744297.3696000003,-10.754525076704352
550,1404,projection_xy,78157611.008,-14.902972601610577,67482170.1632,-13.212119018218484,18,96571195.392,-14.402428190303551
550,1404,projection_yz,82922196.1728,-14.954646614572288,70771539.96800001,-13.280377447159378,18,102837374.1568,-14.466676989376369
550,1404,projection_zx,87804405.3504,-14.993614197568265,73357695.3856,-13.375990187178214,18,112304219.7504,-14.528790765032154
550,348,projection_xy,1080159213.9776,-18.02217576913462,1193631599.8208,-15.713917250310487,20,967312723.1488,-17.25371943653142
550,348,projection_yz,1031866836.5824001,-17.9860129489087,1154529886.208,-15.646188435714887,20,908814765.2608,-17.204059136956317
550,348,projection_zx,837336956.9280001,-17.772257817690843,948206934.4256,-15.414065566848926,20,733881984.6144,-16.977250649421954
550,333,projection_xy,1094799222.3744001,-18.12023153802386,1306449464.5248,-15.616828597927174,23,884568437.5552001,-17.268336200657266
550,333,projection_yz,1227363660.5952,-18.20344384596259,1410514445.9264002,-15.78266287366668,23,1030540702.5152,-17.392433151702896
