lum_V,mag_U,lum_U,pixel,mag_V,sim,lum_J,mag_J,FOV,view
5840481.0752,-10.36513475504465,4808990.3104,650,-12.106121552584032,46322,10045630.0544,-12.934942951408562,13,projection_xy
5840624.4352,-10.36517276213177,4809158.656,650,-12.10614820265447,46322,10045710.336000001,-12.934951628245248,13,projection_yz
5840342.6304,-10.365081949802903,4808756.4288,650,-12.106095815609397,46322,10045575.987200001,-12.934937107785597,13,projection_zx
85391848.2432,-13.216049378481774,66438489.70240001,1250,-15.018541034100362,4199,153305756.4672,-15.89389615613469,25,projection_xy
85758214.14400001,-13.223823518137696,66915912.908800006,1250,-15.02318932139524,4199,153493307.39200002,-15.895223610345898,25,projection_yz
85343371.264,-13.215004555772548,66374585.54880001,1250,-15.017924486290475,4199,153281154.25280002,-15.893721905284345,25,projection_zx
15693901.004800001,-12.127483988756108,24377748.684800003,550,-13.179327272014,2212,16250834.1248,-13.457189143518114,11,projection_xy
15698021.5808,-12.128233215961764,24394576.691200003,550,-13.179612304481264,2212,16251671.3472,-13.457245077831985,11,projection_yz
15697336.729600001,-12.128133164118413,24392328.8064,550,-13.179564936476385,2212,16251420.672,-13.457228330678198,11,projection_zx
2144895.3856,-9.620754803043027,2422712.7296,700,-11.018515287263853,2454,2686854.5536,-11.50311039395919,14,projection_xy
2144833.7408000003,-9.62070120166952,2422593.1264,700,-11.018484082500464,2454,2686833.4592,-11.503101869849214,14,projection_yz
2144880.8448,-9.62074204542183,2422684.2624,700,-11.018507926752648,2454,2686849.4336,-11.503108325006608,14,projection_zx
20349570.252800003,-11.998801730548195,21653130.4448,1050,-13.461388105302571,4091,27380686.848,-14.023610845666852,21,projection_xy
20347653.3248,-11.998654091522123,21650186.240000002,1050,-13.461285824215555,4091,27379887.3088,-14.023579140789028,21,projection_yz
20345030.246400002,-11.998420966665211,21645538.099200003,1050,-13.46114584960878,4091,27378838.732800003,-14.023537559218049,21,projection_zx
63789858.816,-13.37696439351674,77052326.7072,950,-14.701879102354521,1278,87865216.20480001,-15.28954245503202,19,projection_xy
63835858.5344,-13.379119181401524,77205399.1424,950,-14.70266175906157,1278,87876304.896,-15.289679467542662,19,projection_yz
63635836.1088,-13.37270387725816,76750559.6416,950,-14.699254386654886,1278,87808285.08160001,-15.28883873838327,19,projection_zx
4114871.5008,-10.26904727097152,4401684.48,850,-11.725890694031815,23231,5441525.3504,-12.269301641894778,17,projection_xy
4114751.0784,-10.268993822939226,4401467.8016,850,-11.725858919315954,23231,5441479.4752,-12.269292488473212,17,projection_yz
4114891.5712,-10.269057071175922,4401724.2112,850,-11.725895989727388,23231,5441533.542400001,-12.269303276426221,17,projection_zx
6591773.4912,-10.822448783125239,7327899.648,600,-12.237505688920745,4672,8248958.1568,-12.720997751579407,12,projection_xy
6590871.552,-10.822199568490674,7326217.8304,600,-12.237357119640112,4672,8248633.7536,-12.720955052462937,12,projection_yz
6590905.1392,-10.822207702555179,7326272.7168000005,600,-12.237362652557248,4672,8248650.1376,-12.720957209024235,12,projection_zx
