galaxyID,FOV,view,pixel,uband_intTotal,gband_intTotal,rband_intTotal,massband_intTotal
1442,11,projection_xy,550,4181381400.0,3262779000.0,2791983000.0,10104152.0
1442,11,projection_yz,550,4180417500.0,3262240500.0,2791694300.0,10104154.0
1442,11,projection_zx,550,4180428800.0,3262224600.0,2791662800.0,10104149.0
750,34,projection_xy,1700,589453260000.0,392736640000.0,351707660000.0,1502905000.0
750,34,projection_yz,1700,548434300000.0,382085070000.0,346703400000.0,1502905500.0
750,34,projection_zx,1700,499060670000.0,368653040000.0,340690670000.0,1502905600.0
693,25,projection_xy,1250,339740700000.0,218537600000.0,166244930000.0,369310080.0
693,25,projection_yz,1250,327015530000.0,213973710000.0,164123120000.0,369309980.0
693,25,projection_zx,1250,327271220000.0,213444280000.0,163744270000.0,369309920.0
236,20,projection_xy,1000,290154000000.0,348667100000.0,430492780000.0,6994865000.0
236,20,projection_yz,1000,308346400000.0,370858560000.0,457723020000.0,6994867000.0
236,20,projection_zx,1000,327297530000.0,396160430000.0,489522660000.0,6994863600.0
607,24,projection_xy,1200,343536800000.0,377423860000.0,413207860000.0,2467432200.0
607,24,projection_yz,1200,310999880000.0,341531750000.0,380637500000.0,2467433500.0
607,24,projection_zx,1200,294099350000.0,327041350000.0,368217300000.0,2467433000.0
4416,19,projection_xy,950,8572973000.0,6497290000.0,5766219000.0,27080626.0
4416,19,projection_yz,950,8572299300.0,6496920000.0,5765992000.0,27080626.0
4416,19,projection_zx,950,8572016600.0,6496762000.0,5765897000.0,27080624.0
1590,13,projection_xy,650,2696299000.0,2058293400.0,1744816300.0,6469550.0
1590,13,projection_yz,650,2696475400.0,2058393700.0,1744875500.0,6469549.5
1590,13,projection_zx,650,2696337400.0,2058313200.0,1744830300.0,6469549.0
809,24,projection_xy,1200,237624770000.0,183632450000.0,152990140000.0,426731230.0
809,24,projection_yz,1200,228003870000.0,179215160000.0,150631500000.0,426731140.0
809,24,projection_zx,1200,230752240000.0,179484180000.0,150816310000.0,426731230.0
851,27,projection_xy,1350,162228620000.0,155727170000.0,153550270000.0,709770200.0
851,27,projection_yz,1350,160801390000.0,154629320000.0,152740920000.0,709769900.0
851,27,projection_zx,1350,163109620000.0,156317700000.0,153923490000.0,709769900.0
210,17,projection_xy,850,216880500000.0,258334700000.0,310172350000.0,5574272500.0
210,17,projection_yz,850,204031430000.0,243920760000.0,294133240000.0,5574274600.0
210,17,projection_zx,850,214848620000.0,258479210000.0,312370230000.0,5574274600.0
1974,13,projection_xy,650,3046823700.0,2168151800.0,1679437800.0,6466145.0
1974,13,projection_yz,650,3047094800.0,2168277500.0,1679492600.0,6466145.0
1974,13,projection_zx,650,3046898200.0,2168182800.0,1679450100.0,6466146.0
386,24,projection_xy,1200,993351900000.0,792283640000.0,764610000000.0,3005382400.0
386,24,projection_yz,1200,840050900000.0,684649100000.0,674854700000.0,3005383200.0
386,24,projection_zx,1200,928203300000.0,763685400000.0,742172850000.0,3005383000.0
13,46,projection_xy,2300,11631563000000.0,7049381400000.0,5825312600000.0,112269390000.0
13,46,projection_yz,2300,12319110000000.0,7594141000000.0,6300638400000.0,112269270000.0
13,46,projection_zx,2300,17932021000000.0,10312467000000.0,8126738000000.0,112269410000.0
416,31,projection_xy,1550,1068843200000.0,826740000000.0,789506200000.0,2540778000.0
416,31,projection_yz,1550,986799500000.0,789106700000.0,759202050000.0,2540777500.0
416,31,projection_zx,1550,1634125200000.0,1025870140000.0,901085500000.0,2540778200.0
670,30,projection_xy,1500,199331790000.0,149166420000.0,119619020000.0,294851600.0
670,30,projection_yz,1500,201084000000.0,149960130000.0,120019810000.0,294851740.0
670,30,projection_zx,1500,201891450000.0,150318800000.0,120198430000.0,294851650.0
520,24,projection_xy,1200,780203260000.0,583038100000.0,525163500000.0,1724377100.0
520,24,projection_yz,1200,1174134300000.0,768218500000.0,635318440000.0,1724378000.0
520,24,projection_zx,1200,805132500000.0,603017250000.0,539963980000.0,1724376600.0
185,21,projection_xy,1050,723792000000.0,705437100000.0,774136600000.0,8431090000.0
185,21,projection_yz,1050,1602667700000.0,1347890300000.0,1363985600000.0,8431093000.0
185,21,projection_zx,1050,631897260000.0,644636150000.0,722608400000.0,8431092700.0
1795,10,projection_xy,500,3003035100.0,2345611000.0,2094401300.0,11101736.0
1795,10,projection_yz,500,3003876900.0,2346085000.0,2094692900.0,11101738.0
1795,10,projection_zx,500,3003647200.0,2345962800.0,2094620300.0,11101736.0
884,20,projection_xy,1000,163159720000.0,121660370000.0,95724090000.0,276565150.0
884,20,projection_yz,1000,160540050000.0,120258630000.0,95015530000.0,276565120.0
884,20,projection_zx,1000,165125520000.0,122585610000.0,96149140000.0,276565060.0
896,4,projection_xy,200,62298485000.0,24784069000.0,13302413000.0,10644032.0
896,4,projection_yz,200,62278590000.0,24780407000.0,13301375000.0,10644032.0
896,4,projection_zx,200,62283067000.0,24780800000.0,13301157000.0,10644033.0
701,24,projection_xy,1200,141047870000.0,72120640000.0,44334190000.0,44723560.0
701,24,projection_yz,1200,141178730000.0,72161935000.0,44349792000.0,44723564.0
701,24,projection_zx,1200,141134660000.0,72188990000.0,44364755000.0,44723588.0
353,23,projection_xy,1150,1429523300000.0,1027194800000.0,921567000000.0,3025744600.0
353,23,projection_yz,1150,1584005100000.0,1073999700000.0,947100450000.0,3025743400.0
353,23,projection_zx,1150,2038411600000.0,1332439400000.0,1118360000000.0,3025744100.0
1444,13,projection_xy,650,12455839000.0,9212841000.0,7693853700.0,29397304.0
1444,13,projection_yz,650,12449434000.0,9210283000.0,7692799000.0,29397292.0
1444,13,projection_zx,650,12471657000.0,9222375000.0,7699412000.0,29397294.0
814,20,projection_xy,1000,162304200000.0,129954365000.0,105457600000.0,254985340.0
814,20,projection_yz,1000,162246540000.0,129962960000.0,105545064000.0,254985390.0
814,20,projection_zx,1000,166038360000.0,132156056000.0,106725160000.0,254985380.0
54,29,projection_xy,1450,2162126200000.0,2052857100000.0,2216501200000.0,22074657000.0
54,29,projection_yz,1450,1159040100000.0,1192932500000.0,1342264700000.0,22074665000.0
54,29,projection_zx,1450,2243728800000.0,2114450000000.0,2273926000000.0,22074650000.0
424,22,projection_xy,1100,718811560000.0,529708300000.0,437396140000.0,1237799300.0
424,22,projection_yz,1100,669574200000.0,506806670000.0,426008500000.0,1237799300.0
424,22,projection_zx,1100,642507200000.0,489982070000.0,415102860000.0,1237798700.0
426,24,projection_xy,1200,281202660000.0,326014730000.0,373515160000.0,2826829800.0
426,24,projection_yz,1200,375070600000.0,386701820000.0,424078540000.0,2826830800.0
426,24,projection_zx,1200,288778940000.0,329324800000.0,375672730000.0,2826831600.0
1619,11,projection_xy,550,4013140500.0,3144775000.0,2830804200.0,15554926.0
1619,11,projection_yz,550,4014175700.0,3145370000.0,2831177500.0,15554927.0
1619,11,projection_zx,550,4013198600.0,3144792000.0,2830807000.0,15554925.0
3039,11,projection_xy,550,1797778200.0,1351555000.0,1181610600.0,6180599.5
3039,11,projection_yz,550,1797754900.0,1351542900.0,1181603600.0,6180599.0
3039,11,projection_zx,550,1797746800.0,1351538400.0,1181601200.0,6180600.0
1122,18,projection_xy,900,21581525000.0,15270807000.0,11045873000.0,21279322.0
1122,18,projection_yz,900,21613312000.0,15286637000.0,11053176000.0,21279330.0
1122,18,projection_zx,900,21610613000.0,15285330000.0,11052584000.0,21279326.0
152,19,projection_xy,950,594225270000.0,710824900000.0,859732500000.0,12405753000.0
152,19,projection_yz,950,447846840000.0,528906940000.0,635572400000.0,12405750000.0
152,19,projection_zx,950,566304500000.0,686398800000.0,834595700000.0,12405752000.0
974,18,projection_xy,900,146214630000.0,62843875000.0,40152977000.0,53272936.0
974,18,projection_yz,900,145968970000.0,62800020000.0,40139387000.0,53272944.0
974,18,projection_zx,900,145765880000.0,62698447000.0,40089680000.0,53272936.0
620,18,projection_xy,900,718746160000.0,401630700000.0,267137430000.0,329005570.0
620,18,projection_yz,900,677722850000.0,386268400000.0,260716100000.0,329005700.0
620,18,projection_zx,900,726251200000.0,405578000000.0,268978800000.0,329005600.0
198,25,projection_xy,1250,841053900000.0,827425950000.0,830939500000.0,5707739000.0
198,25,projection_yz,1250,1295374500000.0,1152563500000.0,1116589400000.0,5707740000.0
198,25,projection_zx,1250,1677547100000.0,1393251800000.0,1295050500000.0,5707741000.0
1263,13,projection_xy,650,42999730000.0,23929876000.0,15805451000.0,24627820.0
1263,13,projection_yz,650,42944184000.0,23915053000.0,15800917000.0,24627816.0
1263,13,projection_zx,650,43004817000.0,23934026000.0,15807558000.0,24627814.0
284,28,projection_xy,1400,744672000000.0,480292900000.0,339276070000.0,452016700.0
284,28,projection_yz,1400,750360130000.0,482842200000.0,340509900000.0,452016770.0
284,28,projection_zx,1400,723086930000.0,471911400000.0,335630070000.0,452016860.0
1322,13,projection_xy,650,21468348000.0,12153183000.0,7162348000.0,7711984.0
1322,13,projection_yz,650,21463658000.0,12151525000.0,7161831400.0,7711983.0
1322,13,projection_zx,650,21464582000.0,12151719000.0,7161810400.0,7711985.0
14650,18,projection_xy,900,2040701600.0,1553269100.0,1375006500.0,7383438.0
14650,18,projection_yz,900,2040670100.0,1553251600.0,1374995500.0,7383437.5
14650,18,projection_zx,900,2040709100.0,1553274200.0,1375009300.0,7383437.0
852,19,projection_xy,950,113440750000.0,84157400000.0,65187226000.0,152234700.0
852,19,projection_yz,950,113016996000.0,83911070000.0,65051050000.0,152234700.0
852,19,projection_zx,950,113028270000.0,83928736000.0,65064360000.0,152234690.0
1181,13,projection_xy,650,50403623000.0,28088455000.0,20073275000.0,38330544.0
1181,13,projection_yz,650,50382254000.0,28079725000.0,20068760000.0,38330536.0
1181,13,projection_zx,650,50408670000.0,28088793000.0,20072241000.0,38330536.0
800,16,projection_xy,800,295962970000.0,150627910000.0,102197854000.0,139343100.0
800,16,projection_yz,800,297269920000.0,151214080000.0,102515910000.0,139343170.0
800,16,projection_zx,800,297370100000.0,151780000000.0,102829410000.0,139343090.0
4790,12,projection_xy,600,2907108900.0,2143297000.0,1855475000.0,8116439.5
4790,12,projection_yz,600,2907079000.0,2143281900.0,1855466400.0,8116439.5
4790,12,projection_zx,600,2907045400.0,2143263500.0,1855455200.0,8116439.0
432,22,projection_xy,1100,444688760000.0,439266870000.0,463107820000.0,2376589000.0
432,22,projection_yz,1100,385190360000.0,403708150000.0,433178570000.0,2376589800.0
432,22,projection_zx,1100,321656460000.0,351913670000.0,385761250000.0,2376589300.0
378,24,projection_xy,1200,553790700000.0,348675770000.0,238568640000.0,314457800.0
378,24,projection_yz,1200,549544660000.0,346568720000.0,237657200000.0,314457760.0
378,24,projection_zx,1200,551513950000.0,347487600000.0,238032930000.0,314457630.0
396,18,projection_xy,900,1415920700000.0,967407000000.0,808016540000.0,1941004500.0
396,18,projection_yz,900,1426674700000.0,981339100000.0,816820900000.0,1941004400.0
396,18,projection_zx,900,1237723900000.0,854825000000.0,739457800000.0,1941004900.0
44,23,projection_xy,1150,3518399300000.0,2791697500000.0,2791810300000.0,55619965000.0
44,23,projection_yz,1150,1287455500000.0,1032219500000.0,1074343640000.0,55619920000.0
44,23,projection_zx,1150,1094580100000.0,1017760500000.0,1101930200000.0,55619940000.0
451,21,projection_xy,1050,705803100000.0,512828770000.0,457215280000.0,1603671300.0
451,21,projection_yz,1050,647774400000.0,469367980000.0,424009200000.0,1603670700.0
451,21,projection_zx,1050,527598750000.0,425914340000.0,401673400000.0,1603671200.0
1320,35,projection_xy,1750,17624125000.0,13001830000.0,10702744000.0,37905156.0
1320,35,projection_yz,1750,17623988000.0,13001758000.0,10702701000.0,37905176.0
1320,35,projection_zx,1750,17622309000.0,13000833000.0,10702179000.0,37905144.0
554,12,projection_xy,600,3886989000.0,2799519000.0,2284297000.0,7967632.0
554,12,projection_yz,600,3885635300.0,2798867700.0,2283968800.0,7967633.0
554,12,projection_zx,600,3887651600.0,2799853300.0,2284467700.0,7967633.5
955,17,projection_xy,850,323645830000.0,120087710000.0,68880500000.0,79342456.0
955,17,projection_yz,850,301183660000.0,114871984000.0,67085165000.0,79342430.0
955,17,projection_zx,850,322744840000.0,119909230000.0,68812580000.0,79342460.0
343,29,projection_xy,1450,3416747000000.0,1912562100000.0,1319617600000.0,1696611100.0
343,29,projection_yz,1450,2785606000000.0,1666370200000.0,1202423600000.0,1696612200.0
343,29,projection_zx,1450,3727851800000.0,2007243200000.0,1358698900000.0,1696611600.0
127,23,projection_xy,1150,1126931000000.0,1078697660000.0,1158365300000.0,11998232000.0
127,23,projection_yz,1150,2021029600000.0,1761479600000.0,1792877000000.0,11998227000.0
127,23,projection_zx,1150,983729100000.0,901143200000.0,966720500000.0,11998230000.0
1106,14,projection_xy,700,10772468000.0,7183152600.0,4679730700.0,7180153.0
1106,14,projection_yz,700,10771074000.0,7182482400.0,4679430700.0,7180154.5
1106,14,projection_zx,700,10771737000.0,7182685700.0,4679456300.0,7180154.5
727,16,projection_xy,800,359049040000.0,198787170000.0,139234530000.0,245080110.0
727,16,projection_yz,800,356875830000.0,198985450000.0,139366120000.0,245080060.0
727,16,projection_zx,800,369409300000.0,203489400000.0,141489800000.0,245080100.0
79,29,projection_xy,1450,677891600000.0,799282300000.0,968615200000.0,36212433000.0
79,29,projection_yz,1450,1026278800000.0,1145302400000.0,1351931000000.0,36212437000.0
79,29,projection_zx,1450,1376451200000.0,1488566100000.0,1720236400000.0,36212457000.0
3036,17,projection_xy,850,11283660000.0,9164786000.0,8422615600.0,38293564.0
3036,17,projection_yz,850,11281482000.0,9163565000.0,8421849600.0,38293570.0
3036,17,projection_zx,850,11286505000.0,9166466000.0,8423690000.0,38293570.0
1370,13,projection_xy,650,16562566000.0,12902835000.0,10633104000.0,32504778.0
1370,13,projection_yz,650,16596344000.0,12921299000.0,10642232000.0,32504784.0
1370,13,projection_zx,650,16549324000.0,12895052000.0,10629025000.0,32504778.0
1882,29,projection_xy,1450,67647054000.0,64428196000.0,64216190000.0,336633300.0
1882,29,projection_yz,1450,67961586000.0,64652620000.0,64373500000.0,336633380.0
1882,29,projection_zx,1450,66651030000.0,63723340000.0,63722960000.0,336633120.0
978,21,projection_xy,1050,86985150000.0,61688975000.0,43411075000.0,59907852.0
978,21,projection_yz,1050,86956790000.0,61674217000.0,43403910000.0,59907816.0
978,21,projection_zx,1050,86950460000.0,61672165000.0,43403473000.0,59907824.0
873,16,projection_xy,800,38451667000.0,29405230000.0,23608414000.0,56321416.0
873,16,projection_yz,800,38467430000.0,29415190000.0,23615298000.0,56321404.0
873,16,projection_zx,800,38494355000.0,29429527000.0,23622111000.0,56321420.0
516,27,projection_xy,1350,1517714700000.0,800224000000.0,566589400000.0,968060160.0
516,27,projection_yz,1350,1781106000000.0,868284370000.0,592577400000.0,968060350.0
516,27,projection_zx,1350,1427398200000.0,768241300000.0,551541100000.0,968060200.0
1047,10,projection_xy,500,30681500000.0,20093282000.0,13232308000.0,17308066.0
1047,10,projection_yz,500,30672982000.0,20089289000.0,13230281000.0,17308066.0
1047,10,projection_zx,500,30635526000.0,20071424000.0,13223058000.0,17308068.0
802,20,projection_xy,1000,185855160000.0,111251780000.0,68187574000.0,65465020.0
802,20,projection_yz,1000,185528610000.0,111124870000.0,68136710000.0,65465024.0
802,20,projection_zx,1000,185753100000.0,111211770000.0,68172386000.0,65465004.0
1543,12,projection_xy,600,2559721500.0,1865760300.0,1487689600.0,5720409.5
1543,12,projection_yz,600,2559813000.0,1865818800.0,1487734000.0,5720408.0
1543,12,projection_zx,600,2559878400.0,1865845900.0,1487738000.0,5720408.0
1483,13,projection_xy,650,4513784000.0,3140740000.0,2243871200.0,7334676.0
1483,13,projection_yz,650,4515178000.0,3141359000.0,2244093700.0,7334677.0
1483,13,projection_zx,650,4514531000.0,3141085400.0,2244014300.0,7334676.0
1172,20,projection_xy,1000,48381157000.0,39880847000.0,34502345000.0,112949890.0
1172,20,projection_yz,1000,48098050000.0,39710140000.0,34402824000.0,112949890.0
1172,20,projection_zx,1000,48231250000.0,39795880000.0,34457630000.0,112949910.0
1364,9,projection_xy,450,38033080000.0,10194248000.0,5020557000.0,6079469.0
1364,9,projection_yz,450,38053170000.0,10197699000.0,5021563000.0,6079470.0
1364,9,projection_zx,450,38084450000.0,10202450000.0,5022831000.0,6079470.0
3860,13,projection_xy,650,6041567000.0,4705665500.0,4236260000.0,22529160.0
3860,13,projection_yz,650,6043138600.0,4706545700.0,4236803000.0,22529170.0
3860,13,projection_zx,650,6042379300.0,4706126300.0,4236547300.0,22529166.0
1536,14,projection_xy,700,4868708400.0,3449310000.0,2711200000.0,8379056.5
1536,14,projection_yz,700,4869319000.0,3449590800.0,2711330300.0,8379058.5
1536,14,projection_zx,700,4868937700.0,3449384700.0,2711214300.0,8379057.0
536,24,projection_xy,1200,915902500000.0,531454600000.0,378110540000.0,622833860.0
536,24,projection_yz,1200,918800000000.0,533052130000.0,378744240000.0,622833700.0
536,24,projection_zx,1200,816072600000.0,497018600000.0,362792750000.0,622833660.0
306,23,projection_xy,1150,1159131200000.0,919105100000.0,858815900000.0,3745329400.0
306,23,projection_yz,1150,1694027400000.0,1266432100000.0,1125914200000.0,3745330700.0
306,23,projection_zx,1150,1436355700000.0,1115433200000.0,1018673560000.0,3745329000.0
4796,14,projection_xy,700,6709814000.0,5476966000.0,5016376300.0,21337538.0
4796,14,projection_yz,700,6708570000.0,5476262000.0,5015937000.0,21337534.0
4796,14,projection_zx,700,6713669600.0,5479364600.0,5017922600.0,21337536.0
628,22,projection_xy,1100,720015900000.0,480246500000.0,373754920000.0,801343740.0
628,22,projection_yz,1100,639859400000.0,452821680000.0,358975860000.0,801343600.0
628,22,projection_zx,1100,734672800000.0,484868200000.0,374819100000.0,801343940.0
820,25,projection_xy,1250,311616960000.0,159437640000.0,117946925000.0,308995420.0
820,25,projection_yz,1250,287649500000.0,153078240000.0,115412850000.0,308995550.0
820,25,projection_zx,1250,305398000000.0,157854600000.0,117248270000.0,308995600.0
942,13,projection_xy,650,68186608000.0,34416534000.0,23298670000.0,31230054.0
942,13,projection_yz,650,68250920000.0,34434052000.0,23306291000.0,31230052.0
942,13,projection_zx,650,67883680000.0,34315538000.0,23255693000.0,31230052.0
64,14,projection_xy,700,1668906200000.0,1224324400000.0,1133961700000.0,26201029000.0
64,14,projection_yz,700,747424700000.0,616289400000.0,607872350000.0,26201018000.0
64,14,projection_zx,700,890879500000.0,714273600000.0,691549400000.0,26201027000.0
97,23,projection_xy,1150,1259727900000.0,930292960000.0,947755700000.0,15787468000.0
97,23,projection_yz,1150,1421636500000.0,1062000460000.0,1087430400000.0,15787463000.0
97,23,projection_zx,1150,1330141200000.0,955149300000.0,960827000000.0,15787465000.0
687,23,projection_xy,1150,222041620000.0,174456440000.0,139282070000.0,317659500.0
687,23,projection_yz,1150,221563600000.0,174302790000.0,139251730000.0,317659620.0
687,23,projection_zx,1150,222104420000.0,174668200000.0,139468060000.0,317659500.0
672,27,projection_xy,1350,455042630000.0,290230240000.0,211497600000.0,353352160.0
672,27,projection_yz,1350,463988300000.0,294011440000.0,213307720000.0,353352200.0
672,27,projection_zx,1350,463244200000.0,293744700000.0,213162150000.0,353352350.0
138,21,projection_xy,1050,1209877900000.0,1109429300000.0,1186507800000.0,7970046500.0
138,21,projection_yz,1050,594089100000.0,662187400000.0,765568550000.0,7970046000.0
